,protocol,value,loss
0,MPQUIC,0,0.45-0.45
1,MPQUIC,0,0.45-0.45
2,MPQUIC,0,0.45-0.45
3,MPQUIC,0,0.45-0.45
4,MPQUIC,0,0.45-0.45
5,MPQUIC,0,0.45-0.45
6,MPQUIC,0,0.45-0.45
7,MPQUIC,0,0.45-0.45
8,MPQUIC,0,0.45-0.45
9,MPQUIC,0,0.45-0.45
10,MPQUIC,0,0.9-0.9
11,MPQUIC,0,0.9-0.9
12,MPQUIC,0,0.9-0.9
13,MPQUIC,0,0.9-0.9
14,MPQUIC,0,0.9-0.9
15,MPQUIC,0,0.9-0.9
16,MPQUIC,0,0.9-0.9
17,MPQUIC,0,0.9-0.9
18,MPQUIC,0,0.9-0.9
19,MPQUIC,0,0.9-0.9
20,MPQUIC,0.003,0.9-1.8
21,MPQUIC,0.006,0.9-1.8
22,MPQUIC,0.005,0.9-1.8
23,MPQUIC,0.004,0.9-1.8
24,MPQUIC,0.006,0.9-1.8
25,MPQUIC,0.006,0.9-1.8
26,MPQUIC,0.007,0.9-1.8
27,MPQUIC,0.005,0.9-1.8
28,MPQUIC,0.007,0.9-1.8
29,MPQUIC,0.007,0.9-1.8
30,MPQUIC,0.022,0.9-3.6
31,MPQUIC,0.021,0.9-3.6
32,MPQUIC,0.029,0.9-3.6
33,MPQUIC,0.023,0.9-3.6
34,MPQUIC,0.024,0.9-3.6
35,MPQUIC,0.028,0.9-3.6
36,MPQUIC,0.02,0.9-3.6
37,MPQUIC,0.022,0.9-3.6
38,MPQUIC,0.023,0.9-3.6
39,MPQUIC,0.022,0.9-3.6
40,MPQUIC,0.17,1.8-1.8
41,MPQUIC,0.175,1.8-1.8
42,MPQUIC,0.172,1.8-1.8
43,MPQUIC,0.156,1.8-1.8
44,MPQUIC,0.169,1.8-1.8
45,MPQUIC,0.166,1.8-1.8
46,MPQUIC,0.176,1.8-1.8
47,MPQUIC,0.159,1.8-1.8
48,MPQUIC,0.161,1.8-1.8
49,MPQUIC,0.157,1.8-1.8
50,MPQUIC,0.259,1.8-3.6
51,MPQUIC,0.265,1.8-3.6
52,MPQUIC,0.27,1.8-3.6
53,MPQUIC,0.251,1.8-3.6
54,MPQUIC,0.254,1.8-3.6
55,MPQUIC,0.268,1.8-3.6
56,MPQUIC,0.276,1.8-3.6
57,MPQUIC,0.272,1.8-3.6
58,MPQUIC,0.274,1.8-3.6
59,MPQUIC,0.195,3.6-1.8
60,MPQUIC,0.182,3.6-1.8
61,MPQUIC,0.2,3.6-1.8
62,MPQUIC,0.211,3.6-1.8
63,MPQUIC,0.21,3.6-1.8
64,MPQUIC,0.198,3.6-1.8
65,MPQUIC,0.206,3.6-1.8
66,MPQUIC,0.203,3.6-1.8
67,MPQUIC,0.182,3.6-1.8
68,MPQUIC,0.19,3.6-1.8
69,MPQUIC,0.304,3.6-3.6
70,MPQUIC,0.307,3.6-3.6
71,MPQUIC,0.314,3.6-3.6
72,MPQUIC,0.305,3.6-3.6
73,MPQUIC,0.305,3.6-3.6
74,MPQUIC,0.32,3.6-3.6
75,MPQUIC,0.315,3.6-3.6
76,MPQUIC,0.306,3.6-3.6
77,MPQUIC,0.314,3.6-3.6
78,MPQUIC,0.316,3.6-3.6
79,MPTCP,0,0.45-0.45
80,MPTCP,0,0.45-0.45
81,MPTCP,0.001,0.45-0.45
82,MPTCP,0.002,0.45-0.45
83,MPTCP,0.001,0.45-0.45
84,MPTCP,0.001,0.45-0.45
85,MPTCP,0.008,0.45-0.45
86,MPTCP,0.001,0.45-0.45
87,MPTCP,0,0.45-0.45
88,MPTCP,0,0.9-0.9
